South Carolina State University,Orangeburg,SC,Bulldogs,Celebration Bowl,12:00 PM,ABC,7,,Atlanta,GA
Jackson State University (-1.5),Jackson, MS,Tigers,,,28,1.5,,,
12/14/2024,,,,,,,,,,
South Alabama (-7),Mobile, AL,Jaguars,Salute to Veterans Bowl,9:00 PM,ESPN,30,7,Montgomery,AL
Western Michigan University,Kalamazoo,MI,Broncos,,,23,,,,
12/14/2024,,,,,,,
No. 25 Memphis (-3),Memphis,TN,Tigers,Frisco Bowl,9:00 PM,ESPN,42,3,Frisco,TX
West Virginia,Morgantown,WV,Mountaineers,,,37,,,,
12/17/2024,,,,,,,
James Madison University (-7.5),Harrisonburg,VA,Dukes,Boca Raton Bowl,5:30 PM,ESPN,27,7.5,Boca Raton,FL
Western Kentucky University,,,,17,,,
12/18/2024,,,,,,,
No. 24 UNLV,LA Bowl,9:00 PM,ESPN,24,,Inglewood,CA
California (-4.5),,,,,4.5,,
12/18/2024,,,,,,,
Sam Houston State,New Orleans Bowl,7:00 PM,ESPN2,31,,New Orleans,LA
Georgia Southern (-6.5),,,,26,6.5,,
12/19/2024,,,,,,,
Ohio (-2.5),Cure Bowl,12:00 PM,ESPN,30,2.5,Orlando,FL
Jacksonville State,,,,27,,,
12/20/2024,,,,,,,
Florida (-13.5),Gasparilla Bowl,3:30 PM,ESPN,33,13.5,Tampa,FL
Tulane,,,,8,,,
12/20/2024,,,,,,,
Coastal Carolina University,Myrtle Beach Bowl,11:00 AM,ESPN,15,,Conway,SC
University of Texas at San Antonio (-8.5),,,,44,8.5,,
12/23/2024,,,,,,,
Northern Illinois University (-3),Famous Idaho Potato Bowl,2:30 PM,ESPN,28,3,Boise,IA
Fresno State,,,,20,,,
12/23/2024,,,,,,,
University of South Florida,Hawai'i Bowl,8:00 PM,ESPN,41,,Honolulu,Hawaii
San Jose State University (-3),,,,39,3,,
12/24/2024,,,,,,,
Pittsburgh (-9.5),GameAbove Sports Bowl,2:00 PM,ESPN,46,9.5,Detroit,MI
Toledo,,,,48,,,
12/24/2024,,,,,,,
Rutgers,Rate Bowl,5:30 PM,ESPN,41,,Phoenix,AZ
Kansas State University (-6.5),,,,44,6.5,,
12/26/2024,,,,,,,
Arkansas State,68 Ventures Bowl,9:00 PM,ESPN,38,,Mobile,AL
Bowling Green State University (-6.5),,,,31,6.5,,
12/26/2024,,,,,,,
No. 21 Syracuse (-6.5),Holiday Bowl,8:00 PM,FOX,52,6.5,San Diego,CA
Washington State,,,,35,,,
12/27/2024,,,,,,,
Georgia Tech (-2.5),Birmingham Bowl,TBD,ESPN,27,2.5,Birmingham,AL
Vanderbilt,,,,35,,,
